word 1	word 2	score
old	new	0
smart	intelligent	9.769230769
hard	difficult	9.692307692
happy	cheerful	9.307692308
hard	easy	0
fast	rapid	9.846153846
happy	glad	9.384615385
short	long	0
stupid	dumb	9.076923077
weird	strange	9.692307692
wide	narrow	0
bad	awful	9.384615385
easy	difficult	0
old	new	0
hard	simple	0
smart	dumb	0
insane	crazy	9.615384615
happy	mad	0
large	huge	9.692307692
hard	tough	9.153846154
new	fresh	8.615384615
sharp	dull	0
quick	rapid	9.846153846
dumb	foolish	8.923076923
wonderful	terrific	9.615384615
strange	odd	9.615384615
happy	angry	0
narrow	broad	0
simple	easy	9.615384615
old	fresh	0
apparent	obvious	9.076923077
inexpensive	cheap	9.692307692
nice	generous	7.307692308
weird	normal	0
weird	odd	9.769230769
bad	immoral	7.769230769
sad	funny	0
wonderful	great	9.538461538
guilty	ashamed	7.307692308
beautiful	wonderful	7.153846154
confident	sure	9.384615385
dumb	dense	7
large	big	10
nice	cruel	0
impatient	anxious	8.230769231
big	broad	8.384615385
strong	proud	4.769230769
unnecessary	necessary	0
restless	young	0.384615385
dumb	intelligent	0
bad	great	0
difficult	simple	0
necessary	important	9.076923077
bad	terrific	0
mad	glad	0
honest	guilty	0
easy	tough	0
easy	flexible	3.692307692
certain	sure	9.692307692
essential	necessary	9.846153846
different	normal	0
sly	clever	8.307692308
crucial	important	9.615384615
harsh	cruel	8.461538462
childish	foolish	6.461538462
scarce	rare	9.615384615
friendly	generous	4.538461538
fragile	frigid	0.615384615
long	narrow	2.153846154
big	heavy	4.615384615
rough	frigid	0.076923077
bizarre	strange	9.692307692
illegal	immoral	4.692307692
bad	guilty	4.230769231
modern	ancient	0
new	ancient	0
dull	funny	0
happy	young	0.076923077
easy	big	0
great	awful	0
tiny	huge	0
polite	proper	7.923076923
modest	ashamed	1.923076923
exotic	rare	8.307692308
dumb	clever	0
delightful	wonderful	9.230769231
noticeable	obvious	9.153846154
afraid	anxious	6.923076923
formal	proper	8.076923077
dreary	dull	6.923076923
delightful	cheerful	8.461538462
unhappy	mad	6.384615385
sad	terrible	6
sick	crazy	2.384615385
violent	angry	5.923076923
laden	heavy	8
dirty	cheap	0.769230769
elastic	flexible	7.923076923
hard	dense	5.307692308
recent	new	8.461538462
bold	proud	1.307692308
sly	strange	0.384615385
strange	sly	0.153846154
dumb	rare	0
sly	tough	0
terrific	mad	0
modest	flexible	0
fresh	wide	0
huge	dumb	0
large	flexible	0
dirty	narrow	0
