Word 1	Word 2	Score
старый	новый	0
сообразительный	интеллектуальный	8.307692308
тяжелый	трудный	8.615384615
счастливый	радостный	8.461538462
тяжелый	легкий	0
быстрый	скоростной	9.153846154
счастливый	довольный	8.076923077
короткий	длинный	0
глупый	тупой	8.230769231
чудной	странный	8.538461538
широкий	узкий	0
плохой	ужасный	8.615384615
легкий	трудный	0
плохой	ужасный	8.615384615
трудный	простой	0
сообразительный	тупой	0
безумный	сумасшедший	9.307692308
счастливый	рассерженный	0
большой	огромный	9.153846154
твердый	прочный	7.769230769
новый	свежий	7.769230769
острый	тупой	0
скорый	скоростной	9.153846154
тупой	дурацкий	7.538461538
прекрасный	потрясающий	8.461538462
странный	необычный	8.923076923
счастливый	злой	0
узкий	широкий	0
простой	легкий	7
старый	свежий	0
кажущийся	очевидный	2.923076923
недорогой	дешевый	9.461538462
приятный	великодушный	3.538461538
ненормальный	нормальный	0
ненормальный	необычный	5.923076923
плохой	безнравственный	5.846153846
печальный	смешной	0
прекрасный	великолепный	9.384615385
виноватый	пристыженный	7.615384615
красивый	прекрасный	9.384615385
самоуверенный	уверенный	7.384615385
тупой	глупый	8.846153846
крупный	большой	9.461538462
милый	жестокий	0
нетерпеливый	беспокойный	7.769230769
большой	широкий	3.307692308
сильный	гордый	3.230769231
ненужный	необходимый	0
неугомонный	молодой	1.846153846
тупой	интеллектуальный	0
плохой	великолепный	0
трудный	простой	0
необходимый	важный	7.384615385
плохой	потрясающий	0
рассерженный	довольный	0
честный	виноватый	0
легкий	трудный	0
покладистый	гибкий	4
убежденный	бесспорный	5.923076923
неотъемлемый	необходимый	8.153846154
необычный	обычный	0
хитрый	умный	3.384615385
решающий	важный	7.076923077
жесткий	жестокий	3.769230769
ребячливый	безрассудный	5.076923077
скудный	редкий	4.846153846
дружелюбный	великодушный	4.461538462
ранимый	бесстрастный	0.153846154
длинный	узкий	1
большой	тяжелый	2.923076923
грубый	равнодушный	2.846153846
эксцентричный	странный	6.307692308
нелегальный	безнравственный	1.615384615
плохой	виноватый	1.615384615
современный	старинный	0
новый	старый	0
скучный	смешной	0
счастливый	молодой	0.461538462
легкий	большой	0
прекрасный	ужасный	0
крошечный	огромный	0
вежливый	приличный	5.384615385
скромный	пристыженный	1.615384615
экзотичный	редкий	7.461538462
тупой	умный	0
восхитительный	прекрасный	9.076923077
заметный	очевидный	6.769230769
испуганный	встревоженный	7.769230769
официальный	приличный	2.307692308
тоскливый	скучный	8.615384615
восхитительный	радостный	5.230769231
несчастный	рассерженный	0.923076923
печальный	ужасный	2.307692308
больной	сумасшедший	4.615384615
яростный	злой	7.461538462
груженный	тяжелый	6.384615385
грязный	дешевый	0.769230769
эластичный	гибкий	7.923076923
твердый	плотный	6.307692308
недавний	новый	6.769230769
дерзкий	гордый	0.846153846
скрытный	странный	3.153846154
странный	скрытный	2.692307692
немой	редкий	0
ловкий	выносливый	3.923076923
ужасный	рассерженный	2.384615385
скромный	покладистый	2.461538462
свежий	широкий	0
огромный	тупой	0
крупный	гибкий	0
грязный	узкий	0
жена	муж	0
книга	текст	5.307692308
жених	невеста	0
ночь	день	0
юг	север	0
самолет	аэропорт	1.307692308
дядя	тетя	0
лошадь	кобыла	10
низ	верх	0
друг	приятель	9.307692308
учащийся	ученик	9.846153846
мир	Земля	5.846153846
нога	рука	0
самолет	джет	5.692307692
женщина	мужчина	0
конь	жеребенок	6.230769231
актриса	актер	3.692307692
учитель	преподаватель	9.923076923
фильм	кинолента	9.923076923
птица	ястреб	5.230769231
слово	словарь	2.769230769
деньги	зарплата	7.538461538
собака	кошка	0
область	регион	9.076923077
флот	армия	4.384615385
книга	литература	6
одежда	шкаф	0.923076923
закат	рассвет	0
ребенок	взрослый	0
корова	скот	8.076923077
книга	история	1.384615385
зима	лето	0
такси	таксомотор	6.384615385
дерево	клен	5.230769231
кровать	спальня	2.461538462
крыша	потолок	2.769230769
болезнь	инфекция	8.307692308
рука	плечо	2
овца	ягненок	6.153846154
госпожа	господин	4.384615385
лодка	якорь	2
священник	монах	7.384615385
палец	палец	9.923076923
река	поток	6.230769231
злость	ярость	8.846153846
дата	календарь	4.461538462
море	океан	5.769230769
секунда	минута	2.692307692
кисть	палец	3.230769231
дерево	бревно	5.923076923
слякоть	грязь	7.846153846
проход	коридор	6.692307692
привычка	манера	8.153846154
мышка	кошка	1.538461538
полицейский	шериф	8.538461538
смерть	погребение	5.307692308
музыка	мелодия	8.769230769
пиво	алкоголь	6.307692308
рот	губа	4.307692308
буря	ураган	8.538461538
налог	доход	2.230769231
цветок	фиалка	6.307692308
бумага	картон	6.615384615
пол	потолок	1.307692308
пляж	побережье	6.615384615
карниз	занавеска	2.307692308
гончая	лиса	0.615384615
улица	переулок	5.692307692
судно	палуба	3.076923077
автомобиль	гудок	1.846153846
друг	гость	2.461538462
работодатель	работник	2.076923077
кисть	запястье	5.230769231
ядро	пушка	2.769230769
алкоголь	бренди	6.769230769
победа	триумф	9.615384615
телефон	будка	2.615384615
дверь	проем	4.923076923
мотель	гостиница	9.307692308
одежда	ткань	4
стейк	мясо	6.538461538
ноготь	палец	3.307692308
группа	оркестр	4.769230769
книга	Библия	5.230769231
предприятие	промышленность	5.230769231
зима	сезон	3.923076923
десятилетие	век	2.076923077
алкоголь	джин	6.384615385
шляпа	пальто	1.230769231
окно	дверь	0.153846154
рука	запястье	2.538461538
дом	квартира	6.923076923
стекло	хрусталь	5.692307692
вино	бренди	4.615384615
создатель	изготовитель	9.461538462
ужин	завтрак	0.307692308
рука	мускул	1.538461538
пузырь	пена	3.230769231
хлеб	мука	5.153846154
смерть	трагедия	4.769230769
отсутствие	пристуствие	0.076923077
ружье	пушка	3.384615385
трава	травинка	8.307692308
мяч	корзина	0.769230769
шланг	сад	0.769230769
мальчик	ребенок	5.615384615
церковь	хор	1.461538462
одежда	ящик	0.307692308
башня	колокол	1.076923077
отец	родитель	9.461538462
школа	класс	3.692307692
родитель	взрослый	3.538461538
пруток	тюрьма	0.076923077
автомобиль	автострада	1.230769231
словарь	толкование	5.692307692
дверь	подвал	0.384615385
армия	легион	6.846153846
металл	алюминий	4.615384615
стул	скамейка	3
облако	туман	3.769230769
мальчик	сын	3.615384615
вода	лед	2
постель	одеяло	3.384615385
представитель	адвокат	6.153846154
область	зона	8.076923077
предприятие	компания	9.230769231
одежда	ткань	3.230769231
свитер	пиджак	1.538461538
деньги	капитал	8.076923077
кисть	ступня	0
алкоголь	коктейль	5.307692308
ярд	дюйм	2.615384615
молекула	атом	3.846153846
линза	фотоаппарат	1.769230769
трапеза	ужин	8.153846154
глаз	слеза	1.769230769
Бог	дьявол	0.076923077
петля	пояс	0.846153846
крыса	мышь	3.461538462
мотор	двигатель	8.923076923
автомобиль	такси	4.153846154
кот	лев	1.153846154
размер	величина	8.153846154
реальность	фантазия	0.230769231
дверь	ворота	3.153846154
кот	питомец	4.461538462
олово	алюминий	2.538461538
кость	челюсть	2.076923077
злак	пшеница	6.615384615
дом	ключ	0.615384615
кровь	плоть	1.230769231
дверь	коридор	0.692307692
Бог	дух	4.076923077
способность	компетенция	2.307692308
изобилие	множество	8.692307692
диван	стул	1.230769231
стена	кирпич	1.923076923
рожок	барабан	0.615384615
орган	печень	3.153846154
сила	мощь	7.769230769
фраза	слово	2
оркестр	парад	1.538461538
желудок	талия	0
туча	буря	2.384615385
радость	гордость	1.769230769
шум	грохот	7.615384615
дождь	изморось	7.307692308
пиво	напиток	4
мужчина	дядя	4.384615385
яблоко	сок	1.384615385
интеллект	логика	4.307692308
общение	язык	3.846153846
норка	мех	1.538461538
орава	толпа	7.153846154
берег	побережье	7.615384615
провод	шнур	7.923076923
птица	индейка	4.076923077
кровать	кроватка	9
компетенция	способность	2.538461538
облако	дымка	3.384615385
ужин	трапеза	7.230769231
пруток	клетка	0.076923077
вода	соль	0
чувство	интуиция	6.846153846
ситуация	состояние	2.615384615
преступлениe	кража	5
стиль	мода	7.615384615
рубеж	граница	9.769230769
рука	тело	1.153846154
судно	автомобиль	0.846153846
бутерброд	обед	2.153846154
невеста	принцесса	1.461538462
героиня	герой	6.538461538
автомобиль	датчик	1.615384615
насекомое	пчела	6.461538462
кроватка	колыбель	7.692307692
животное	человек	2.538461538
марихуана	трава	5.846153846
койка	больница	2.384615385
щека	язык	2.692307692
диск	компьютер	2.538461538
изгиб	угол	4.692307692
трава	мох	5
факультет	юриспруденция	1.923076923
